resource,consumer,
Diatoms,Chironominii,
Alga,Chironominii,
CPOM,Chironominii,
Fungi,Enallagma coecum,
Amorphous detritus,Enallagma coecum,
FPOM,Enallagma coecum,
Animal tissue,Enallagma coecum,
Diatoms,Enallagma coecum,
Alga,Enallagma coecum,
CPOM,Enallagma coecum,
Fungi,Farrodes taino,
Amorphous detritus,Farrodes taino,
FPOM,Farrodes taino,
Diatoms,Farrodes taino,
Alga,Farrodes taino,
Fungi,Macrothemis,
Amorphous detritus,Macrothemis,
Plant tissue,Macrothemis,
Animal tissue,Macrothemis,
Diatoms,Macrothemis,
Alga,Macrothemis,
Fungi,Ceratopogonidae,
Amorphous detritus,Ceratopogonidae,
FPOM,Ceratopogonidae,
Animal tissue,Ceratopogonidae,
Diatoms,Ceratopogonidae,
Alga,Ceratopogonidae,
CPOM,Ceratopogonidae,
Fungi,Allisotrichia,
Amorphous detritus,Allisotrichia,
FPOM,Allisotrichia,
Animal tissue,Allisotrichia,
Diatoms,Allisotrichia,
Alga,Allisotrichia,
CPOM,Allisotrichia,
Fungi,Cariboptila,
Amorphous detritus,Cariboptila,
FPOM,Cariboptila,
Diatoms,Cariboptila,
Alga,Cariboptila,
Fungi,Phylloicus pulchrus,
Amorphous detritus,Phylloicus pulchrus,
FPOM,Phylloicus pulchrus,
Diatoms,Phylloicus pulchrus,
Alga,Phylloicus pulchrus,
CPOM,Phylloicus pulchrus,
Amorphous detritus,Petrophila,
FPOM,Petrophila,
Animal tissue,Petrophila,
Diatoms,Petrophila,
Alga,Petrophila,
Fungi,Simulium,
Amorphous detritus,Simulium,
FPOM,Simulium,
Animal tissue,Simulium,
Diatoms,Simulium,
Alga,Simulium,
CPOM,Simulium,
Fungi,Hydroptila,
Amorphous detritus,Hydroptila,
FPOM,Hydroptila,
Animal tissue,Hydroptila,
Diatoms,Hydroptila,
Alga,Hydroptila,
CPOM,Hydroptila,
Fungi,Hemerodromia,
Amorphous detritus,Hemerodromia,
FPOM,Hemerodromia,
Animal tissue,Hemerodromia,
Diatoms,Hemerodromia,
Alga,Hemerodromia,
Fungi,Neotrichia,
Amorphous detritus,Neotrichia,
FPOM,Neotrichia,
Animal tissue,Neotrichia,
Diatoms,Neotrichia,
Alga,Neotrichia,
CPOM,Neotrichia,
Fungi,Maruina,
Amorphous detritus,Maruina,
FPOM,Maruina,
Animal tissue,Maruina,
Diatoms,Maruina,
Alga,Maruina,
Amorphous detritus,Smicridea,
